PID,group,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,score,is_multiple
67/4236,2,0.18599999999999936,0.015934732384894252,0.8453381807165039,0.28046590560431156,0.3319347046764273,False
21/5521,2,0.18599999999999936,0.021820137279394098,0.8711024390243903,0.24822251411585422,0.3317862726049095,False
181/2621,2,0.16999999999999887,0.029285579125136452,0.8653950531131271,0.26173038334162474,0.3316027538949718,False
82/6384,2,0.16999999999999887,0.022998425322601494,0.8674464695138538,0.2636504134204213,0.33102382706421885,False
07/5681,2,0.23600000000000002,0.07954894221817062,0.8745494436608683,0.13034357963521823,0.33011049137856424,False
70/6176,2,0.266,0.07112262329207422,0.848583919406957,0.1345361828228693,0.3300606813804751,False
87/6284,2,0.16999999999999887,0.019662141941033388,0.8717147654938102,0.2577756389967146,0.32978813660788925,False
05/1958,2,0.16799999999999973,0.012731486071808849,0.8599607042416305,0.2779437894187558,0.32965899493304873,False
181/2839,2,0.20799999999999916,0.02978547219855797,0.8609889686029469,0.21979723678848945,0.3296429193974984,False
07/4227,2,0.16399999999999962,0.01571864015918003,0.8729761439186546,0.2645605109224748,0.32931382375007723,False
06/3580,2,0.18199999999999925,0.036950872014901326,0.8708645443196006,0.22723601657217987,0.32926285822667023,False
